,subcategory_id,subcategory
0,subcat1,food trucks
1,subcat2,rock
2,subcat3,web
3,subcat4,plays
4,subcat5,documentary
5,subcat6,electric music
6,subcat7,drama
7,subcat8,indie rock
8,subcat9,wearables
9,subcat10,nonfiction
10,subcat11,animation
11,subcat12,video games
12,subcat13,shorts
13,subcat14,fiction
14,subcat15,photography books
15,subcat16,radio & podcasts
16,subcat17,metal
17,subcat18,jazz
18,subcat19,translations
19,subcat20,television
20,subcat21,mobile games
21,subcat22,world music
22,subcat23,science fiction
23,subcat24,audio
